# Hub Local Request Monitor - Slice[0] Bank[3]
# Format: Time(ns) | ReqCh | ReqAddrFullHex | ReqRW(1=Write,0=Read) | HasValidReadReq | HandshakeType | ArbValidMask | ReqRwMask
# HandshakeType: NON_WRITE_REQ / WRITE_NO_VALID_READ / WRITE_WITH_VALID_READ
# ========================================
[9736000] INFO: slice start (cycle=0)
     9762000 |     3 | 0x180000 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9764000 |     5 | 0x180004 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9787000 |     3 | 0x180001 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9789000 |     5 | 0x180005 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9792000 |     3 | 0x180002 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9794000 |     5 | 0x180006 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9797000 |     3 | 0x180003 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9799000 |     5 | 0x180007 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9802000 |     3 | 0x180008 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9804000 |     5 | 0x18000c |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9807000 |     3 | 0x180009 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9809000 |     5 | 0x18000d |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9812000 |     3 | 0x18000a |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9814000 |     5 | 0x18000e |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9817000 |     3 | 0x18000b |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9819000 |     5 | 0x18000f |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9822000 |     3 | 0x180010 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9824000 |     5 | 0x180014 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9827000 |     3 | 0x180011 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9829000 |     5 | 0x180015 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9832000 |     3 | 0x180012 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9834000 |     5 | 0x180016 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9837000 |     3 | 0x180013 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9839000 |     5 | 0x180017 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9842000 |     3 | 0x180018 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9844000 |     5 | 0x18001c |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9847000 |     3 | 0x180019 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9849000 |     5 | 0x18001d |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9852000 |     3 | 0x18001a |                0 |               1 | NON_WRITE_REQ | 0b0000001000 | 0b1100000000
     9854000 |     3 | 0x18001b |                0 |               1 | NON_WRITE_REQ | 0b0000001000 | 0b1100000000
     9872000 |     5 | 0x18001e |                0 |               1 | NON_WRITE_REQ | 0b0000100000 | 0b1100000000
     9874000 |     5 | 0x18001f |                0 |               1 | NON_WRITE_REQ | 0b0000100000 | 0b1100000000
     9884000 |     3 | 0x180020 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9887000 |     5 | 0x180024 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9889000 |     3 | 0x180021 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9892000 |     5 | 0x180025 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9894000 |     3 | 0x180022 |                0 |               1 | NON_WRITE_REQ | 0b0000001000 | 0b1100000000
     9897000 |     3 | 0x180023 |                0 |               1 | NON_WRITE_REQ | 0b0000001000 | 0b1100000000
     9914000 |     5 | 0x180026 |                0 |               1 | NON_WRITE_REQ | 0b0000100000 | 0b1100000000
     9917000 |     5 | 0x180027 |                0 |               1 | NON_WRITE_REQ | 0b0000100000 | 0b1100000000
     9927000 |     3 | 0x180028 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9929000 |     5 | 0x18002c |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9932000 |     3 | 0x180029 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9934000 |     5 | 0x18002d |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9937000 |     3 | 0x18002a |                0 |               1 | NON_WRITE_REQ | 0b0000001000 | 0b1100000000
     9939000 |     3 | 0x18002b |                0 |               1 | NON_WRITE_REQ | 0b0000001000 | 0b1100000000
     9957000 |     5 | 0x18002e |                0 |               1 | NON_WRITE_REQ | 0b0000100000 | 0b1100000000
     9959000 |     5 | 0x18002f |                0 |               1 | NON_WRITE_REQ | 0b0000100000 | 0b1100000000
     9969000 |     3 | 0x180030 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9972000 |     5 | 0x180034 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
     9974000 |     3 | 0x180031 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
