# Hub Local Request Monitor - Slice[0] Bank[1]
# Format: Time(ns) | ReqCh | ReqAddrFullHex | ReqRW(1=Write,0=Read) | HasValidReadReq | HandshakeType | ArbValidMask | ReqRwMask
# HandshakeType: NON_WRITE_REQ / WRITE_NO_VALID_READ / WRITE_WITH_VALID_READ
# ========================================
[9736000] INFO: slice start (cycle=0)
     9759000 |     1 | 0x80000 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
     9762000 |     1 | 0x80001 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
     9784000 |     1 | 0x80002 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
     9787000 |     1 | 0x80003 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
     9789000 |     1 | 0x80004 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
     9792000 |     1 | 0x80005 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
     9794000 |     1 | 0x80006 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
     9797000 |     1 | 0x80007 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
     9819000 |     1 | 0x80008 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
     9822000 |     1 | 0x80009 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
     9824000 |     1 | 0x8000a |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
     9827000 |     1 | 0x8000b |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
     9837000 |     1 | 0x8000c |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    10392000 |     1 | 0x8000d |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    10407000 |     1 | 0x8000e |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    10409000 |     1 | 0x8000f |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    10417000 |     1 | 0x80010 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    10987000 |     1 | 0x80011 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    11002000 |     1 | 0x80012 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    11004000 |     1 | 0x80013 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    11012000 |     1 | 0x80014 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    11582000 |     1 | 0x80015 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    11597000 |     1 | 0x80016 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    11599000 |     1 | 0x80017 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    11607000 |     1 | 0x80018 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12177000 |     1 | 0x80019 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12192000 |     1 | 0x8001a |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12194000 |     1 | 0x8001b |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12202000 |     1 | 0x8001c |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12772000 |     1 | 0x8001d |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12787000 |     1 | 0x8001e |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12789000 |     1 | 0x8001f |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12797000 |     1 | 0x80020 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    13367000 |     1 | 0x80021 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    13382000 |     1 | 0x80022 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    13384000 |     1 | 0x80023 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    13392000 |     1 | 0x80024 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    13962000 |     1 | 0x80025 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    13977000 |     1 | 0x80026 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    13979000 |     1 | 0x80027 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    13987000 |     1 | 0x80028 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    14557000 |     1 | 0x80029 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    14572000 |     1 | 0x8002a |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    14574000 |     1 | 0x8002b |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    14582000 |     1 | 0x8002c |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    15152000 |     1 | 0x8002d |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    15167000 |     1 | 0x8002e |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    15169000 |     1 | 0x8002f |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    15177000 |     1 | 0x80030 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    15747000 |     1 | 0x80031 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    15762000 |     1 | 0x80032 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    15764000 |     1 | 0x80033 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    15772000 |     1 | 0x80034 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    16342000 |     1 | 0x80035 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    16357000 |     1 | 0x80036 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    16359000 |     1 | 0x80037 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    16367000 |     1 | 0x80038 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
