# Bank Frame Channel Monitor - Slice[0] Bank[2]
# Format: Time(ns) | CycleFromSliceStart | Row(dec) | Col(dec) | RW(0:R,1:W) | StartFrame | EndFrame | Data(hex128) | Addr(hex)
# ========================================
[9736000] INFO: slice start (cycle=0)
    10012000 |      220 |    0 |  56 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000038
    10014000 |      222 |    0 |  60 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003c
    10017000 |      224 |    0 |  57 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000039
    10019000 |      226 |    0 |  61 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003d
    10022000 |      228 |    0 |  58 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003a
    10024000 |      230 |    0 |  59 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003b
    10039000 |      242 |    0 |  62 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003e
    10042000 |      244 |    0 |  63 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003f
    10054000 |      254 |    0 |  63 | 0(R) | 0 | 1 | 0x00000000000000000000000000000000 | 0x00003f
[10054000] INFO: Row Change (cycle=254, total=1)
    10057000 |      256 |    1 |   4 | 0(R) | 1 | 0 | 0x00000000000000000000000000000000 | 0x000044
    10072000 |      268 |    1 |   5 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000045
    10094000 |      286 |    1 |   0 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000040
    10097000 |      288 |    1 |   6 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000046
    10099000 |      290 |    1 |   1 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000041
    10102000 |      292 |    1 |   7 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000047
    10104000 |      294 |    1 |   2 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000042
    10107000 |      296 |    1 |  12 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00004c
    10109000 |      298 |    1 |   3 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000043
    10112000 |      300 |    1 |  13 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00004d
    10114000 |      302 |    1 |   8 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000048
    10117000 |      304 |    1 |   9 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000049
    10119000 |      306 |    1 |  10 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00004a
    10122000 |      308 |    1 |  11 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00004b
    10124000 |      310 |    1 |  14 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00004e
    10127000 |      312 |    1 |  15 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00004f
    10139000 |      322 |    1 |  16 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000050
    10142000 |      324 |    1 |  20 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000054
    10144000 |      326 |    1 |  17 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000051
    10147000 |      328 |    1 |  21 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000055
    10149000 |      330 |    1 |  18 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000052
    10152000 |      332 |    1 |  19 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000053
    10167000 |      344 |    1 |  22 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000056
