# Hub Local Request Monitor - Slice[0] Bank[0]
# Format: Time(ns) | ReqCh | ReqAddrFullHex | ReqRW(1=Write,0=Read) | HasValidReadReq | HandshakeType | ArbValidMask | ReqRwMask
# HandshakeType: NON_WRITE_REQ / WRITE_NO_VALID_READ / WRITE_WITH_VALID_READ
# ========================================
[9736000] INFO: slice start (cycle=0)
     9759000 |     0 | 0x0 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
     9774000 |     0 | 0x1 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
     9797000 |     0 | 0x2 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
     9799000 |     0 | 0x3 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
     9802000 |     0 | 0x4 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
     9804000 |     0 | 0x5 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
     9807000 |     0 | 0x6 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
     9809000 |     0 | 0x7 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
     9817000 |     0 | 0x8 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
     9819000 |     0 | 0x9 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
     9822000 |     0 | 0xa |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
     9824000 |     0 | 0xb |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
     9837000 |     0 | 0xc |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
     9839000 |     0 | 0xd |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    10404000 |     0 | 0xe |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    10407000 |     0 | 0xf |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
