# Hub Local Request Monitor - Slice[0] Bank[2]
# Format: Time(ns) | ReqCh | ReqAddrFullHex | ReqRW(1=Write,0=Read) | HasValidReadReq | HandshakeType | ArbValidMask | ReqRwMask
# HandshakeType: NON_WRITE_REQ / WRITE_NO_VALID_READ / WRITE_WITH_VALID_READ
# ========================================
[9736000] INFO: slice start (cycle=0)
     9999000 |     4 | 0x100037 |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
    10012000 |     2 | 0x100038 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10014000 |     4 | 0x10003c |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10017000 |     2 | 0x100039 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10019000 |     4 | 0x10003d |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10022000 |     2 | 0x10003a |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
    10024000 |     2 | 0x10003b |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
    10039000 |     4 | 0x10003e |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
    10042000 |     4 | 0x10003f |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
    10057000 |     4 | 0x100044 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10072000 |     4 | 0x100045 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10094000 |     2 | 0x100040 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10097000 |     4 | 0x100046 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10099000 |     2 | 0x100041 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10102000 |     4 | 0x100047 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10104000 |     2 | 0x100042 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10107000 |     4 | 0x10004c |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
