# Hub Local Request Monitor - Slice[0] Bank[0]
# Format: Time(ns) | ReqCh | ReqAddrFullHex | ReqRW(1=Write,0=Read) | HasValidReadReq | HandshakeType | ArbValidMask | ReqRwMask
# HandshakeType: NON_WRITE_REQ / WRITE_NO_VALID_READ / WRITE_WITH_VALID_READ
# ========================================
[12244000] INFO: slice start (cycle=0)
    12269000 |     0 | 0x0 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12284000 |     0 | 0x1 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12307000 |     0 | 0x2 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12309000 |     0 | 0x3 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12312000 |     0 | 0x4 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12314000 |     0 | 0x5 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12317000 |     0 | 0x6 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12319000 |     0 | 0x7 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12327000 |     0 | 0x8 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12329000 |     0 | 0x9 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12332000 |     0 | 0xa |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12334000 |     0 | 0xb |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12347000 |     0 | 0xc |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12349000 |     0 | 0xd |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12404000 |     0 | 0xe |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12407000 |     0 | 0xf |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12417000 |     0 | 0x10 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12419000 |     0 | 0x11 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12489000 |     0 | 0x12 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12492000 |     0 | 0x13 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12502000 |     0 | 0x14 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12504000 |     0 | 0x15 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12574000 |     0 | 0x16 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12577000 |     0 | 0x17 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12587000 |     0 | 0x18 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12589000 |     0 | 0x19 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12659000 |     0 | 0x1a |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12662000 |     0 | 0x1b |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12672000 |     0 | 0x1c |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12674000 |     0 | 0x1d |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12744000 |     0 | 0x1e |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12747000 |     0 | 0x1f |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12757000 |     0 | 0x20 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12759000 |     0 | 0x21 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12829000 |     0 | 0x22 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12832000 |     0 | 0x23 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12842000 |     0 | 0x24 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12844000 |     0 | 0x25 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12914000 |     0 | 0x26 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12917000 |     0 | 0x27 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12927000 |     0 | 0x28 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12929000 |     0 | 0x29 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    12999000 |     0 | 0x2a |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13002000 |     0 | 0x2b |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13012000 |     0 | 0x2c |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13014000 |     0 | 0x2d |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13084000 |     0 | 0x2e |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13087000 |     0 | 0x2f |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13097000 |     0 | 0x30 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13099000 |     0 | 0x31 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13169000 |     0 | 0x32 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13172000 |     0 | 0x33 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13182000 |     0 | 0x34 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13184000 |     0 | 0x35 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13254000 |     0 | 0x36 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13257000 |     0 | 0x37 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13267000 |     0 | 0x38 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13269000 |     0 | 0x39 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13339000 |     0 | 0x3a |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13342000 |     0 | 0x3b |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13352000 |     0 | 0x3c |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13354000 |     0 | 0x3d |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13424000 |     0 | 0x3e |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13427000 |     0 | 0x3f |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13439000 |     0 | 0x40 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13454000 |     0 | 0x41 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13509000 |     0 | 0x42 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13512000 |     0 | 0x43 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13522000 |     0 | 0x44 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13524000 |     0 | 0x45 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13594000 |     0 | 0x46 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13597000 |     0 | 0x47 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13607000 |     0 | 0x48 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13609000 |     0 | 0x49 |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13679000 |     0 | 0x4a |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13682000 |     0 | 0x4b |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13692000 |     0 | 0x4c |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13694000 |     0 | 0x4d |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13764000 |     0 | 0x4e |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
    13767000 |     0 | 0x4f |                0 |               1 | NON_WRITE_REQ | 0b0000000001 | 0b1100000000
