# Bank Frame Channel Monitor - Slice[0] Bank[0]
# Format: Time(ns) | CycleFromSliceStart | Row(dec) | Col(dec) | RW(0:R,1:W) | StartFrame | EndFrame | Data(hex128) | Addr(hex)
# ========================================
     6827000 |        0 | 5000 |   0 | 1(W) | 1 | 0 | 0x3b0000f0000000080000000280000079 | 0x04e200
     6829000 |        0 | 5000 |   1 | 1(W) | 0 | 0 | 0x3b0400f0000000203b0200f000000010 | 0x04e201
     6852000 |        0 | 5000 |   2 | 1(W) | 0 | 0 | 0x000000000000007d3b0600f000000040 | 0x04e202
     6937000 |        0 | 5000 |   2 | 1(W) | 0 | 1 | 0x000000000000007d3b0600f000000040 | 0x04e202
[6937000] INFO: Row Change (cycle=0, total=1)
     6939000 |        0 | 5000 |   0 | 0(R) | 1 | 0 | 0x00000000000000000000000000000000 | 0x04e200
     6942000 |        0 | 5000 |   1 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x04e201
     6952000 |        0 | 5000 |   2 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x04e202
     7024000 |        0 | 5000 |   2 | 0(R) | 0 | 1 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x04e202
[7024000] INFO: Row Change (cycle=0, total=2)
     7027000 |        0 |    0 |   0 | 1(W) | 1 | 0 | 0x00000011010040040000000000404004 | 0x000000
     7042000 |        0 |    0 |   1 | 1(W) | 0 | 0 | 0x08082000000000000000020000000008 | 0x000001
     7064000 |        0 |    0 |   2 | 1(W) | 0 | 0 | 0x00000000000000200000080002000000 | 0x000002
     7067000 |        0 |    0 |   3 | 1(W) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000003
     7069000 |        0 |    0 |   4 | 1(W) | 0 | 0 | 0x8000040008220022002200a000808300 | 0x000004
     7072000 |        0 |    0 |   5 | 1(W) | 0 | 0 | 0x200000000000a0000020000000080000 | 0x000005
     7074000 |        0 |    0 |   6 | 1(W) | 0 | 0 | 0x00800200000800200028020000000000 | 0x000006
     7077000 |        0 |    0 |   7 | 1(W) | 0 | 0 | 0x00000000000000080a00002020008000 | 0x000007
     7079000 |        0 |    0 |   8 | 1(W) | 0 | 0 | 0x00000800000000200808088020800000 | 0x000008
     7082000 |        0 |    0 |   9 | 1(W) | 0 | 0 | 0x02800000000000000000000000000000 | 0x000009
     7084000 |        0 |    0 |  10 | 1(W) | 0 | 0 | 0x00880000000000000000000000000000 | 0x00000a
     7087000 |        0 |    0 |  11 | 1(W) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000b
     7089000 |        0 |    0 |  12 | 1(W) | 0 | 0 | 0x00000000000000000800080000200000 | 0x00000c
     7092000 |        0 |    0 |  13 | 1(W) | 0 | 0 | 0x20800028800000002000000000000000 | 0x00000d
     7094000 |        0 |    0 |  14 | 1(W) | 0 | 0 | 0x000080000000000022000002a20000a0 | 0x00000e
     7097000 |        0 |    0 |  15 | 1(W) | 0 | 0 | 0x00002088000000000000220000000000 | 0x00000f
     7099000 |        0 |    0 |  16 | 1(W) | 0 | 0 | 0x00020000002000000002000800208088 | 0x000010
     7102000 |        0 |    0 |  17 | 1(W) | 0 | 0 | 0x00000020000002002000000000000000 | 0x000011
     7104000 |        0 |    0 |  18 | 1(W) | 0 | 0 | 0x00000008000020000000200000000000 | 0x000012
     7107000 |        0 |    0 |  19 | 1(W) | 0 | 0 | 0xa09000000000000a0000000000000000 | 0x000013
     7109000 |        0 |    0 |  20 | 1(W) | 0 | 0 | 0x00008000000808000200000800000000 | 0x000014
     7112000 |        0 |    0 |  21 | 1(W) | 0 | 0 | 0x00000002000000000000000000000000 | 0x000015
     7114000 |        0 |    0 |  22 | 1(W) | 0 | 0 | 0x00000000000000000200000802000082 | 0x000016
     7117000 |        0 |    0 |  23 | 1(W) | 0 | 0 | 0x20008000200200000000000088200800 | 0x000017
     7119000 |        0 |    0 |  24 | 1(W) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000018
     7122000 |        0 |    0 |  25 | 1(W) | 0 | 0 | 0x00000000000002020006080000000002 | 0x000019
     7124000 |        0 |    0 |  26 | 1(W) | 0 | 0 | 0x02000020000000000000000000000000 | 0x00001a
     7127000 |        0 |    0 |  27 | 1(W) | 0 | 0 | 0x00082000002000000000008000020000 | 0x00001b
     7129000 |        0 |    0 |  28 | 1(W) | 0 | 0 | 0x00000000000000810020000000000000 | 0x00001c
     7199000 |        0 |    0 |  28 | 1(W) | 0 | 1 | 0x00000000000000810020000000000000 | 0x00001c
[7199000] INFO: Row Change (cycle=0, total=3)
     7202000 |        0 |    0 |   0 | 0(R) | 1 | 0 | 0x00000000000000000000000000000000 | 0x000000
     7204000 |        0 |    0 |   1 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000001
     7214000 |        0 |    0 |   2 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000002
     7217000 |        0 |    0 |   3 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000003
     7219000 |        0 |    0 |   4 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000004
     7222000 |        0 |    0 |   5 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000005
     7224000 |        0 |    0 |   6 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000006
     7227000 |        0 |    0 |   7 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000007
     7229000 |        0 |    0 |   8 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000008
     7232000 |        0 |    0 |   9 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000009
     7234000 |        0 |    0 |  10 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000a
     7237000 |        0 |    0 |  11 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000b
     7239000 |        0 |    0 |  12 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000c
     7242000 |        0 |    0 |  13 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000d
     7244000 |        0 |    0 |  14 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000e
     7247000 |        0 |    0 |  15 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000f
     7249000 |        0 |    0 |  16 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000010
     7252000 |        0 |    0 |  17 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000011
     7254000 |        0 |    0 |  18 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000012
     7257000 |        0 |    0 |  19 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000013
     7259000 |        0 |    0 |  20 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000014
     7262000 |        0 |    0 |  21 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000015
     7264000 |        0 |    0 |  22 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000016
     7267000 |        0 |    0 |  23 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000017
     7269000 |        0 |    0 |  24 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000018
     7272000 |        0 |    0 |  25 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000019
     7274000 |        0 |    0 |  26 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001a
     7277000 |        0 |    0 |  27 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001b
     7279000 |        0 |    0 |  28 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001c
