# Hub Local Request Monitor - Slice[0] Bank[1]
# Format: Time(ns) | ReqCh | ReqAddrFullHex | ReqRW(1=Write,0=Read) | HasValidReadReq | HandshakeType | ArbValidMask | ReqRwMask
# HandshakeType: NON_WRITE_REQ / WRITE_NO_VALID_READ / WRITE_WITH_VALID_READ
# ========================================
[12244000] INFO: slice start (cycle=0)
    12267000 |     1 | 0x80000 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12269000 |     1 | 0x80001 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12292000 |     1 | 0x80002 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12294000 |     1 | 0x80003 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12297000 |     1 | 0x80004 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12299000 |     1 | 0x80005 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12302000 |     1 | 0x80006 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12304000 |     1 | 0x80007 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12329000 |     1 | 0x80008 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12332000 |     1 | 0x80009 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12334000 |     1 | 0x8000a |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12337000 |     1 | 0x8000b |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12347000 |     1 | 0x8000c |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12392000 |     1 | 0x8000d |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12407000 |     1 | 0x8000e |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12409000 |     1 | 0x8000f |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12417000 |     1 | 0x80010 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12477000 |     1 | 0x80011 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12492000 |     1 | 0x80012 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12494000 |     1 | 0x80013 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12502000 |     1 | 0x80014 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12562000 |     1 | 0x80015 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12577000 |     1 | 0x80016 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12579000 |     1 | 0x80017 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12587000 |     1 | 0x80018 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12647000 |     1 | 0x80019 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12662000 |     1 | 0x8001a |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12664000 |     1 | 0x8001b |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12672000 |     1 | 0x8001c |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12732000 |     1 | 0x8001d |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12747000 |     1 | 0x8001e |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12749000 |     1 | 0x8001f |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12757000 |     1 | 0x80020 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12817000 |     1 | 0x80021 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12832000 |     1 | 0x80022 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12834000 |     1 | 0x80023 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12842000 |     1 | 0x80024 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12902000 |     1 | 0x80025 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12917000 |     1 | 0x80026 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12919000 |     1 | 0x80027 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
    12927000 |     1 | 0x80028 |                0 |               1 | NON_WRITE_REQ | 0b0000000010 | 0b1100000000
