global_event_index,buffer,buffer_event_index,ideal_ready_cycle,actual_ready_cycle,pe_next_available_cycle,ideal_compute_start_cycle,actual_compute_start_cycle,actual_compute_end_cycle,exposed_bubble_cycles,buffer_ready_early_slack_cycles,row_switched_this_event,delay_when_needed_cycles
91,pong,45,1484,1539,1565,1484,1565,1581,0,26,0,55
92,ping,46,1500,1557,1581,1500,1581,1597,0,24,0,57
93,pong,46,1516,1573,1597,1516,1597,1613,0,24,0,57
94,ping,47,1532,1591,1613,1532,1613,1629,0,22,0,59
95,pong,47,1548,1607,1629,1548,1629,1645,0,22,0,59
96,ping,48,1564,1661,1645,1564,1661,1677,16,0,1,97
97,pong,48,1580,1653,1677,1580,1677,1693,0,24,1,73
98,ping,49,1596,1669,1693,1596,1693,1709,0,24,0,73
99,pong,49,1612,1675,1709,1612,1709,1725,0,34,0,63
100,ping,50,1628,1693,1725,1628,1725,1741,0,32,0,65
101,pong,50,1644,1709,1741,1644,1741,1757,0,32,0,65
102,ping,51,1660,1727,1757,1660,1757,1773,0,30,0,67
103,pong,51,1676,1743,1773,1676,1773,1789,0,30,0,67
104,ping,52,1692,1761,1789,1692,1789,1805,0,28,0,69
105,pong,52,1708,1777,1805,1708,1805,1821,0,28,0,69
106,ping,53,1724,1795,1821,1724,1821,1837,0,26,0,71
107,pong,53,1740,1811,1837,1740,1837,1853,0,26,0,71
108,ping,54,1756,1829,1853,1756,1853,1869,0,24,0,73
109,pong,54,1772,1845,1869,1772,1869,1885,0,24,0,73
110,ping,55,1788,1863,1885,1788,1885,1901,0,22,0,75
111,pong,55,1804,1879,1901,1804,1901,1917,0,22,0,75
112,ping,56,1820,1933,1917,1820,1933,1949,16,0,1,113
113,pong,56,1836,1925,1949,1836,1949,1965,0,24,1,89
114,ping,57,1852,1941,1965,1852,1965,1981,0,24,0,89
115,pong,57,1868,1947,1981,1868,1981,1997,0,34,0,79
116,ping,58,1884,1965,1997,1884,1997,2013,0,32,0,81
117,pong,58,1900,1981,2013,1900,2013,2029,0,32,0,81
118,ping,59,1916,1999,2029,1916,2029,2045,0,30,0,83
119,pong,59,1932,2015,2045,1932,2045,2061,0,30,0,83
120,ping,60,1948,2033,2061,1948,2061,2077,0,28,0,85
121,pong,60,1964,2049,2077,1964,2077,2093,0,28,0,85
122,ping,61,1980,2067,2093,1980,2093,2109,0,26,0,87
123,pong,61,1996,2083,2109,1996,2109,2125,0,26,0,87
124,ping,62,2012,2101,2125,2012,2125,2141,0,24,0,89
125,pong,62,2028,2117,2141,2028,2141,2157,0,24,0,89
126,ping,63,2044,2135,2157,2044,2157,2173,0,22,0,91
127,pong,63,2060,2151,2173,2060,2173,2189,0,22,0,91
128,ping,64,2076,2205,2189,2076,2205,2221,16,0,1,129
129,pong,64,2092,2197,2221,2092,2221,2237,0,24,1,105
130,ping,65,2108,2213,2237,2108,2237,2253,0,24,0,105
