global_event_index,buffer,buffer_event_index,ideal_ready_cycle,actual_ready_cycle,pe_next_available_cycle,ideal_compute_start_cycle,actual_compute_start_cycle,actual_compute_end_cycle,exposed_bubble_cycles,buffer_ready_early_slack_cycles,row_switched_this_event,delay_when_needed_cycles
418,ping,209,6716,7109,7133,6716,7133,7149,0,24,0,393
419,pong,209,6732,7115,7149,6732,7149,7165,0,34,0,383
420,ping,210,6748,7133,7165,6748,7165,7181,0,32,0,385
421,pong,210,6764,7149,7181,6764,7181,7197,0,32,0,385
422,ping,211,6780,7167,7197,6780,7197,7213,0,30,0,387
423,pong,211,6796,7183,7213,6796,7213,7229,0,30,0,387
424,ping,212,6812,7201,7229,6812,7229,7245,0,28,0,389
425,pong,212,6828,7217,7245,6828,7245,7261,0,28,0,389
426,ping,213,6844,7235,7261,6844,7261,7277,0,26,0,391
427,pong,213,6860,7251,7277,6860,7277,7293,0,26,0,391
428,ping,214,6876,7269,7293,6876,7293,7309,0,24,0,393
429,pong,214,6892,7285,7309,6892,7309,7325,0,24,0,393
430,ping,215,6908,7303,7325,6908,7325,7341,0,22,0,395
431,pong,215,6924,7319,7341,6924,7341,7357,0,22,0,395
432,ping,216,6940,7373,7357,6940,7373,7389,16,0,1,433
433,pong,216,6956,7365,7389,6956,7389,7405,0,24,1,409
434,ping,217,6972,7381,7405,6972,7405,7421,0,24,0,409
435,pong,217,6988,7387,7421,6988,7421,7437,0,34,0,399
436,ping,218,7004,7405,7437,7004,7437,7453,0,32,0,401
437,pong,218,7020,7421,7453,7020,7453,7469,0,32,0,401
438,ping,219,7036,7439,7469,7036,7469,7485,0,30,0,403
439,pong,219,7052,7455,7485,7052,7485,7501,0,30,0,403
440,ping,220,7068,7473,7501,7068,7501,7517,0,28,0,405
441,pong,220,7084,7489,7517,7084,7517,7533,0,28,0,405
442,ping,221,7100,7507,7533,7100,7533,7549,0,26,0,407
443,pong,221,7116,7523,7549,7116,7549,7565,0,26,0,407
444,ping,222,7132,7541,7565,7132,7565,7581,0,24,0,409
445,pong,222,7148,7557,7581,7148,7581,7597,0,24,0,409
446,ping,223,7164,7575,7597,7164,7597,7613,0,22,0,411
447,pong,223,7180,7591,7613,7180,7613,7629,0,22,0,411
448,ping,224,7196,7645,7629,7196,7645,7661,16,0,1,449
449,pong,224,7212,7637,7661,7212,7661,7677,0,24,1,425
450,ping,225,7228,7653,7677,7228,7677,7693,0,24,0,425
451,pong,225,7244,7659,7693,7244,7693,7709,0,34,0,415
452,ping,226,7260,7677,7709,7260,7709,7725,0,32,0,417
453,pong,226,7276,7693,7725,7276,7725,7741,0,32,0,417
454,ping,227,7292,7711,7741,7292,7741,7757,0,30,0,419
455,pong,227,7308,7727,7757,7308,7757,7773,0,30,0,419
456,ping,228,7324,7745,7773,7324,7773,7789,0,28,0,421
457,pong,228,7340,7761,7789,7340,7789,7805,0,28,0,421
458,ping,229,7356,7779,7805,7356,7805,7821,0,26,0,423
459,pong,229,7372,7795,7821,7372,7821,7837,0,26,0,423
460,ping,230,7388,7813,7837,7388,7837,7853,0,24,0,425
461,pong,230,7404,7829,7853,7404,7853,7869,0,24,0,425
462,ping,231,7420,7847,7869,7420,7869,7885,0,22,0,427
463,pong,231,7436,7863,7885,7436,7885,7901,0,22,0,427
464,ping,232,7452,7917,7901,7452,7917,7933,16,0,1,465
465,pong,232,7468,7909,7933,7468,7933,7949,0,24,1,441
466,ping,233,7484,7925,7949,7484,7949,7965,0,24,0,441
467,pong,233,7500,7931,7965,7500,7965,7981,0,34,0,431
468,ping,234,7516,7949,7981,7516,7981,7997,0,32,0,433
469,pong,234,7532,7965,7997,7532,7997,8013,0,32,0,433
470,ping,235,7548,7983,8013,7548,8013,8029,0,30,0,435
471,pong,235,7564,7999,8029,7564,8029,8045,0,30,0,435
472,ping,236,7580,8017,8045,7580,8045,8061,0,28,0,437
473,pong,236,7596,8033,8061,7596,8061,8077,0,28,0,437
474,ping,237,7612,8051,8077,7612,8077,8093,0,26,0,439
475,pong,237,7628,8067,8093,7628,8093,8109,0,26,0,439
476,ping,238,7644,8085,8109,7644,8109,8125,0,24,0,441
477,pong,238,7660,8101,8125,7660,8125,8141,0,24,0,441
478,ping,239,7676,8119,8141,7676,8141,8157,0,22,0,443
479,pong,239,7692,8135,8157,7692,8157,8173,0,22,0,443
480,ping,240,7708,8189,8173,7708,8189,8205,16,0,1,481
481,pong,240,7724,8181,8205,7724,8205,8221,0,24,1,457
482,ping,241,7740,8197,8221,7740,8221,8237,0,24,0,457
483,pong,241,7756,8203,8237,7756,8237,8253,0,34,0,447
484,ping,242,7772,8221,8253,7772,8253,8269,0,32,0,449
485,pong,242,7788,8237,8269,7788,8269,8285,0,32,0,449
486,ping,243,7804,8255,8285,7804,8285,8301,0,30,0,451
487,pong,243,7820,8271,8301,7820,8301,8317,0,30,0,451
488,ping,244,7836,8289,8317,7836,8317,8333,0,28,0,453
489,pong,244,7852,8305,8333,7852,8333,8349,0,28,0,453
490,ping,245,7868,8323,8349,7868,8349,8365,0,26,0,455
491,pong,245,7884,8339,8365,7884,8365,8381,0,26,0,455
492,ping,246,7900,8357,8381,7900,8381,8397,0,24,0,457
493,pong,246,7916,8373,8397,7916,8397,8413,0,24,0,457
494,ping,247,7932,8391,8413,7932,8413,8429,0,22,0,459
495,pong,247,7948,8407,8429,7948,8429,8445,0,22,0,459
496,ping,248,7964,8461,8445,7964,8461,8477,16,0,1,497
497,pong,248,7980,8453,8477,7980,8477,8493,0,24,1,473
498,ping,249,7996,8469,8493,7996,8493,8509,0,24,0,473
499,pong,249,8012,8475,8509,8012,8509,8525,0,34,0,463
500,ping,250,8028,8493,8525,8028,8525,8541,0,32,0,465
501,pong,250,8044,8509,8541,8044,8541,8557,0,32,0,465
502,ping,251,8060,8527,8557,8060,8557,8573,0,30,0,467
503,pong,251,8076,8543,8573,8076,8573,8589,0,30,0,467
504,ping,252,8092,8561,8589,8092,8589,8605,0,28,0,469
505,pong,252,8108,8577,8605,8108,8605,8621,0,28,0,469
506,ping,253,8124,8595,8621,8124,8621,8637,0,26,0,471
507,pong,253,8140,8611,8637,8140,8637,8653,0,26,0,471
508,ping,254,8156,8629,8653,8156,8653,8669,0,24,0,473
509,pong,254,8172,8645,8669,8172,8669,8685,0,24,0,473
510,ping,255,8188,8663,8685,8188,8685,8701,0,22,0,475
511,pong,255,8204,8679,8701,8204,8701,8717,0,22,0,475
