大模块名,模块名,实例名,寄存器地址,寄存器位宽范围
,,buffer_manager_cluster3,01110001100000,[20:0]
,,buffer_manager_cluster4,01110010000000,[20:0]
,,buffer_manager_cluster5,01110010100000,[20:0]
sa,special_array,special_array0,10000000000000,[31:0]
ga,ga_inport_group,ga_inport_group0,11000000000000,[19:0]
,,ga_inport_group1,11000000100000,[19:0]
,,ga_inport_group2,11000001000000,[19:0]
,ga_outport_group,ga_outport_group0,11010000000000,[11:0]
,ga_pe,ga_pe0,11100000000000,[17:0]
,,,11100000000001,[35:18]
,,,11100000000010,const0
,,,11100000000011,const1
,,,11100000000100,const2
,,ga_pe1,11100000100000,[17:0]
,,,11100000100001,[35:18]
,,,11100000100010,const0
,,,11100000100011,const1
,,,11100000100100,const2
,,ga_pe2,11100001000000,[17:0]
,,,11100001000001,[35:18]
,,,11100001000010,const0
,,,11100001000011,const1
,,,11100001000100,const2
,,ga_pe3,11100001100000,[17:0]
,,,11100001100001,[35:18]
,,,11100001100010,const0
,,,11100001100011,const1
,,,11100001100100,const2
,,ga_pe4,11100010000000,[17:0]
,,,11100010000001,[35:18]
,,,11100010000010,const0
,,,11100010000011,const1
,,,11100010000100,const2
,,ga_pe5,11100010100000,[17:0]
,,,11100010100001,[35:18]
,,,11100010100010,const0
,,,11100010100011,const1
,,,11100010100100,const2
,,ga_pe6,11100011000000,[17:0]
,,,11100011000001,[35:18]
,,,11100011000010,const0
,,,11100011000011,const1
,,,11100011000100,const2
,,ga_pe7,11100011100000,[17:0]
,,,11100011100001,[35:18]
,,,11100011100010,const0
,,,11100011100011,const1
,,,11100011100100,const2
,,ga_pe8,11100100000000,[17:0]
,,,11100100000001,[35:18]
,,,11100100000010,const0
,,,11100100000011,const1
,,,11100100000100,const2
,,ga_pe9,11100100100000,[17:0]
,,,11100100100001,[35:18]
,,,11100100100010,const0
,,,11100100100011,const1
,,,11100100100100,const2
,,ga_pe10,11100101000000,[17:0]
,,,11100101000001,[35:18]
,,,11100101000010,const0
,,,11100101000011,const1
,,,11100101000100,const2
,,ga_pe11,11100101100000,[17:0]
,,,11100101100001,[35:18]
,,,11100101100010,const0
,,,11100101100011,const1
,,,11100101100100,const2
,,ga_pe12,11100110000000,[17:0]
,,,11100110000001,[35:18]
,,,11100110000010,const0
,,,11100110000011,const1
,,,11100110000100,const2
,,ga_pe13,11100110100000,[17:0]
,,,11100110100001,[35:18]
,,,11100110100010,const0
,,,11100110100011,const1
,,,11100110100100,const2
,,ga_pe14,11100111000000,[17:0]
,,,11100111000001,[35:18]
,,,11100111000010,const0
,,,11100111000011,const1
,,,11100111000100,const2
,,ga_pe15,11100111100000,[17:0]
,,,11100111100001,[35:18]
,,,11100111100010,const0
,,,11100111100011,const1
,,,11100111100100,const2
