大组名称,模块名称,字段,配置名,备注,硬件端口名,备注,默认值
,,36bit[199:164],stream_engine.stream.idx_padding_range.up_bound,"[port2,port1,port0]：idx0、idx1、idx2 padding高位界",mse_padding_up_bound*3,idx0、idx1、idex2 padding高位界,
,,3bit[163:161],stream_engine.stream.tailing_enable,"[port2,port1,port0]：idx_tailing使能,置为1的话使能的输入端口tailing",mse_branch_valid*3,"idx_tailing使能,置为1的话使能的输入端口tailing",
,,36bit[160:125],stream_engine.stream.idx_tailing_range.low,"[port2,port1,port0]：idx0、idx1、idex2 有效上边界",mse_branch_low_bound*3,idx0、idx1、idex2 有效上边界,
,,36bit[124:89],stream_engine.stream.idx_tailing_range.up,"[port2,port1,port0]：idx0、idx1、idex2 有效下边界",mse_branch_up_bound*3,idx0、idx1、idex2 有效下边界,
,,80bit[88:9],stream_engine.stream.buf_spatial_stride,buffer ag展开的多路offset，低位地址->高地址,mse_buf_spatial_stride*16,buffer ag展开的多路offset，低比特部分有效,
,,5bit[8:4],stream_engine.stream.buf_spatial_size,buffer ag需要展开的地址个数,mse_buf_spatial_size,buffer ag需要展开的地址个数,
,,4bit[3:0],stream_engine.stream.buf_full_last_index,buffer满的last_index,mse_buf_full_last_index,,
,1*Write Memory Stream Engine,6bit[350:345],stream_engine.stream.mem_idx_mode,,mse_mem_idx_mode*3,,
,,12bit[344:333],stream_engine.stream.mem_idx_keep_last_index,,mse_mem_idx_keep_last_index*3,DRAM AG的3个port各自所需的last index,7
,,15bit[332:318],stream_engine.stream.idx,,mem_inport_src_id*3,,
,,24bit[317:294],stream_engine.stream.mem_idx_constant,,mse_mem_idx_constant*3,,
,,2bit[293:292],stream_engine.stream.buf_idx_mode,,mse_buf_idx_mode*2,,
,,8bit[291:284],stream_engine.stream.buf_idx_keep_last_index,,mse_buf_idx_keep_last_index*2,buffer AG的2个port各自所需的last index,7
,,1bit[283:283],stream_engine.stream.ping_pong,,mse_pingpong_enable,ping-pong使能,
,,4bit[282:279],stream_engine.stream.pingpong_last_index,,mse_pingpong_last_index,切换pingpong所需的last_index,
,,30bit[278:250],stream_engine.stream.base_addr,,mse_stream_base_addr,基地址,
,,24bit[249:226],stream_engine.stream.idx_size,,mse_transaction_layout_size*3,idx0_size、idx1_size、idx2_size，实际值减1,
,,9bit[225:217],,,mse_transaction_layout_size_log*3,码流生成器计算: log2(idx2_size)和log2(idx1_size*idx2_size),
,,8bit[216:209],,,mse_transaction_total_size,码流生成器计算: idx0_size*idx1_size*idx2_size),
,,60bit[208:149],stream_engine.stream.dim_stride,,mse_transaction_mult*3,idx0_stride、idx1_stride、idx2_stride,
,,130bit[148:85],stream_engine.stream.address_remapping,,mse_map_matrix_b,地址重映射表/掩码,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
,,3bit[163:161],stream_engine.stream.tailing_enable,,mse_branch_valid*3,,
,,36bit[160:125],stream_engine.stream.idx_tailing_range.low,,mse_branch_low_bound*3,,
,,36bit[124:89],stream_engine.stream.idx_tailing_range.up,,mse_branch_up_bound*3,,
