# Bank Frame Channel Monitor - Slice[0] Bank[1]
# Format: Time(ns) | CycleFromSliceStart | Row(dec) | Col(dec) | RW(0:R,1:W) | StartFrame | EndFrame | Data(hex128) | Addr(hex)
# ========================================
     7367000 |        0 |    0 |   0 | 1(W) | 1 | 0 | 0xb8d238893a8cb42738053a5a398ab913 | 0x000000
     7369000 |        0 |    0 |   1 | 1(W) | 0 | 0 | 0x2090b603b0a434a637d9b849b20fb763 | 0x000001
     7392000 |        0 |    0 |   2 | 1(W) | 0 | 0 | 0x36223b73b2d0b9e9357f375730ceb8b1 | 0x000002
     7394000 |        0 |    0 |   3 | 1(W) | 0 | 0 | 0xb1b7b8a53ba034a93af4b64b38833841 | 0x000003
     7397000 |        0 |    0 |   4 | 1(W) | 0 | 0 | 0xb9ca39bf07a33599b82d38213829b5ff | 0x000004
     7399000 |        0 |    0 |   5 | 1(W) | 0 | 0 | 0x370cb6cf3a13bb36b84d3a5cb7cdb878 | 0x000005
     7402000 |        0 |    0 |   6 | 1(W) | 0 | 0 | 0xb98a3a2ead4f3022353835bb3ae83bf4 | 0x000006
     7404000 |        0 |    0 |   7 | 1(W) | 0 | 0 | 0xb26138fdbbc734c8356738c73aedbbae | 0x000007
     7407000 |        0 |    0 |   8 | 1(W) | 0 | 0 | 0xb0b43363bab2ba98b94028a1b893b6ef | 0x000008
     7409000 |        0 |    0 |   9 | 1(W) | 0 | 0 | 0x309eb91cb766b8d2b80db6322f0f31a2 | 0x000009
     7412000 |        0 |    0 |  10 | 1(W) | 0 | 0 | 0x39c930ef3a40323438f6b08037ff3a9c | 0x00000a
     7414000 |        0 |    0 |  11 | 1(W) | 0 | 0 | 0xba8a34062e78b1ee29793a58b8dcbba4 | 0x00000b
     7417000 |        0 |    0 |  12 | 1(W) | 0 | 0 | 0x9fb4b6dc3782bb9e316e3b10b936ab42 | 0x00000c
     7419000 |        0 |    0 |  13 | 1(W) | 0 | 0 | 0xa60eb9deb7a3b12d325b2705b6c7bbe6 | 0x00000d
     7422000 |        0 |    0 |  14 | 1(W) | 0 | 0 | 0x387c3017b7a5363d305038bd3785330c | 0x00000e
     7424000 |        0 |    0 |  15 | 1(W) | 0 | 0 | 0xb96bab3c2ed83080b8a337c1bb99b4a5 | 0x00000f
     7427000 |        0 |    0 |  16 | 1(W) | 0 | 0 | 0xb8abb4a0356aa826b139b48d320130d7 | 0x000010
     7429000 |        0 |    0 |  17 | 1(W) | 0 | 0 | 0x359db2a8b9dfb9763b303a133a833bdd | 0x000011
     7432000 |        0 |    0 |  18 | 1(W) | 0 | 0 | 0x3625b9c3b1632e38b23a29053bf2b9d6 | 0x000012
     7434000 |        0 |    0 |  19 | 1(W) | 0 | 0 | 0xb54e3763b11f3104395238de39ddbb0c | 0x000013
     7437000 |        0 |    0 |  20 | 1(W) | 0 | 0 | 0x39fd394ab868b271b1c83ba7b91b38c9 | 0x000014
     7439000 |        0 |    0 |  21 | 1(W) | 0 | 0 | 0xaa613ac2bad6b705b4cd38853be1b826 | 0x000015
     7442000 |        0 |    0 |  22 | 1(W) | 0 | 0 | 0xb5e9b2d7b836ba73b92338c335ae2e02 | 0x000016
     7444000 |        0 |    0 |  23 | 1(W) | 0 | 0 | 0xb169bb9eb545b92bba6d3b4f325c3751 | 0x000017
     7447000 |        0 |    0 |  24 | 1(W) | 0 | 0 | 0xb38b2f01bac6bbef3574348ab1b6a54d | 0x000018
     7449000 |        0 |    0 |  25 | 1(W) | 0 | 0 | 0xba0728c0b811b48a3bd535e63b2fb9b8 | 0x000019
