# Bank Frame Channel Monitor - Slice[0] Bank[3]
# Format: Time(ns) | CycleFromSliceStart | Row(dec) | Col(dec) | RW(0:R,1:W) | StartFrame | EndFrame | Data(hex128) | Addr(hex)
# ========================================
[13329000] INFO: slice start (cycle=0)
    13614000 |      227 |    0 |   0 | 1(W) | 1 | 0 | 0xa9ed3cffb4ebc019b8013a9a35e130f0 | 0x000000
    13617000 |      229 |    0 |   2 | 1(W) | 0 | 0 | 0xb5ed35d73c4bbc9d30a0bffcadc63f14 | 0x000002
    13639000 |      247 |    0 |   1 | 1(W) | 0 | 0 | 0xad88400cbd78392fb973411b40dc35e7 | 0x000001
    13642000 |      249 |    0 |   4 | 1(W) | 0 | 0 | 0x3291b6b1391cbf2c3c5cc30db85c401c | 0x000004
    13644000 |      251 |    0 |   3 | 1(W) | 0 | 0 | 0x2c34b9133c053e40b8593e98b6dea7fc | 0x000003
    13647000 |      253 |    0 |   6 | 1(W) | 0 | 0 | 0xb7d93778ba503f2eb4c938d63c38bbbd | 0x000006
    13649000 |      255 |    0 |   5 | 1(W) | 0 | 0 | 0x43d93c94b801bcd2addf39e3bba1bcd7 | 0x000005
    13652000 |      257 |    0 |   8 | 1(W) | 0 | 0 | 0x312bb82bb8a3405c3d32be70bdbab882 | 0x000008
    13654000 |      259 |    0 |   7 | 1(W) | 0 | 0 | 0x3facb09f41e6394241b62bb5b97db980 | 0x000007
    13657000 |      261 |    0 |  10 | 1(W) | 0 | 0 | 0x3eeebebcbe093dc13a6bb219bf38bba6 | 0x00000a
    13659000 |      263 |    0 |   9 | 1(W) | 0 | 0 | 0xb6da31704059b4433c73b9ca3d4cb732 | 0x000009
    13662000 |      265 |    0 |  12 | 1(W) | 0 | 0 | 0xc03342014073298b3fe8380537bfbb13 | 0x00000c
    13664000 |      267 |    0 |  11 | 1(W) | 0 | 0 | 0xbe263c7d3e97bf3538c9b30a273d3f3b | 0x00000b
    13667000 |      269 |    0 |  14 | 1(W) | 0 | 0 | 0x3b6338cc3432c0a3b84db4333ee44146 | 0x00000e
    13669000 |      271 |    0 |  13 | 1(W) | 0 | 0 | 0x3de23460440db8f242ccb90db5e63938 | 0x00000d
