# Bank Frame Channel Monitor - Slice[0] Bank[0]
# Format: Time(ns) | CycleFromSliceStart | Row(dec) | Col(dec) | RW(0:R,1:W) | StartFrame | EndFrame | Data(hex128) | Addr(hex)
# ========================================
     6827000 |        0 | 5000 |   0 | 1(W) | 1 | 0 | 0x3b0000f0000000080000000280000079 | 0x04e200
     6829000 |        0 | 5000 |   1 | 1(W) | 0 | 0 | 0x3b0400f0000000203b0200f000000010 | 0x04e201
     6852000 |        0 | 5000 |   2 | 1(W) | 0 | 0 | 0x000000000000007d3b0600f000000040 | 0x04e202
     6937000 |        0 | 5000 |   2 | 1(W) | 0 | 1 | 0x000000000000007d3b0600f000000040 | 0x04e202
[6937000] INFO: Row Change (cycle=0, total=1)
     6939000 |        0 | 5000 |   0 | 0(R) | 1 | 0 | 0x00000000000000000000000000000000 | 0x04e200
     6942000 |        0 | 5000 |   1 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x04e201
     6952000 |        0 | 5000 |   2 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x04e202
     7024000 |        0 | 5000 |   2 | 0(R) | 0 | 1 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x04e202
[7024000] INFO: Row Change (cycle=0, total=2)
     7027000 |        0 |    0 |   0 | 1(W) | 1 | 0 | 0x35e9b9663a9339293b3237393342b13c | 0x000000
     7042000 |        0 |    0 |   1 | 1(W) | 0 | 0 | 0x315bbac23b973bc836572c9fb6183905 | 0x000001
     7064000 |        0 |    0 |   2 | 1(W) | 0 | 0 | 0x3b353a3fadad33b0b720b8fdaca6b4b1 | 0x000002
     7067000 |        0 |    0 |   3 | 1(W) | 0 | 0 | 0x34243644add2341531653a6bbb46b702 | 0x000003
     7069000 |        0 |    0 |   4 | 1(W) | 0 | 0 | 0xbb4f3a422b173be3bad22ee53b8229ea | 0x000004
     7072000 |        0 |    0 |   5 | 1(W) | 0 | 0 | 0x3b65b401b6db39e6b86c3b69bbce3b85 | 0x000005
     7074000 |        0 |    0 |   6 | 1(W) | 0 | 0 | 0xbbd1ac03bb19ba19ba1f34c637e03156 | 0x000006
     7077000 |        0 |    0 |   7 | 1(W) | 0 | 0 | 0xb3ebbaaa386f2f7ab0da3a80ba39a38d | 0x000007
     7079000 |        0 |    0 |   8 | 1(W) | 0 | 0 | 0xbaa53bc9b406b42439013b283bc7380e | 0x000008
     7082000 |        0 |    0 |   9 | 1(W) | 0 | 0 | 0x3391ba62baa7366ebad63926369abab3 | 0x000009
     7084000 |        0 |    0 |  10 | 1(W) | 0 | 0 | 0xbb142e57af7c3a34b4c5ba20b9b6382f | 0x00000a
     7087000 |        0 |    0 |  11 | 1(W) | 0 | 0 | 0xb69eb57c3585380a38aa38a2ba8aa1b7 | 0x00000b
     7089000 |        0 |    0 |  12 | 1(W) | 0 | 0 | 0x3a7cba8ab5c83b333b3630b33438ae99 | 0x00000c
     7092000 |        0 |    0 |  13 | 1(W) | 0 | 0 | 0xba5a3a7121613939b5c23a54b317bbd4 | 0x00000d
     7094000 |        0 |    0 |  14 | 1(W) | 0 | 0 | 0xb418386cb5183ae439bcb08b38043813 | 0x00000e
     7097000 |        0 |    0 |  15 | 1(W) | 0 | 0 | 0x378638dbb6fab929380338e93bd9b198 | 0x00000f
     7099000 |        0 |    0 |  16 | 1(W) | 0 | 0 | 0x3985bba13908b6fbba1c364c34203a0a | 0x000010
     7102000 |        0 |    0 |  17 | 1(W) | 0 | 0 | 0xb8debae4ba63bbb5ba7d35dbbadcb5cb | 0x000011
     7104000 |        0 |    0 |  18 | 1(W) | 0 | 0 | 0xb3283496ad582dd73b10b34a3b613a7c | 0x000012
     7107000 |        0 |    0 |  19 | 1(W) | 0 | 0 | 0x3514b965badf348fbb93317d3b0b30d5 | 0x000013
     7109000 |        0 |    0 |  20 | 1(W) | 0 | 0 | 0xb27f336a3453bb46b40334071e6c39b4 | 0x000014
     7112000 |        0 |    0 |  21 | 1(W) | 0 | 0 | 0x39b03684aa9dba6fa44baacbb93bb03c | 0x000015
     7114000 |        0 |    0 |  22 | 1(W) | 0 | 0 | 0xb125b809b49c3820bbc5ba25bb44bb59 | 0x000016
     7117000 |        0 |    0 |  23 | 1(W) | 0 | 0 | 0x2e4d36de3520b70b3b47379d2ef53326 | 0x000017
     7119000 |        0 |    0 |  24 | 1(W) | 0 | 0 | 0xbb983b6739603645b1d4b93ab97fb7fe | 0x000018
     7122000 |        0 |    0 |  25 | 1(W) | 0 | 0 | 0x373c3b9d282cb5aa38b9b755afd0babf | 0x000019
     7124000 |        0 |    0 |  26 | 1(W) | 0 | 0 | 0x3852b88c33ddbaa2bb2c2c032d343466 | 0x00001a
     7127000 |        0 |    0 |  27 | 1(W) | 0 | 0 | 0xb6d531d0bb83bb673929b479b9f829b2 | 0x00001b
     7129000 |        0 |    0 |  28 | 1(W) | 0 | 0 | 0x3a3db52fb3f6ba7f3103bb6dac672d75 | 0x00001c
     7132000 |        0 |    0 |  29 | 1(W) | 0 | 0 | 0x39e03a9d25cf1a3638c634cd367738bc | 0x00001d
     7134000 |        0 |    0 |  30 | 1(W) | 0 | 0 | 0x3a0a37b4364e367bb47fb69b38f338f6 | 0x00001e
     7137000 |        0 |    0 |  31 | 1(W) | 0 | 0 | 0x3afa3646307cba72335c3bd7b9c228b1 | 0x00001f
     7207000 |        0 |    0 |  31 | 1(W) | 0 | 1 | 0x3afa3646307cba72335c3bd7b9c228b1 | 0x00001f
[7207000] INFO: Row Change (cycle=0, total=3)
     7209000 |        0 |    0 |   0 | 0(R) | 1 | 0 | 0x00000000000000000000000000000000 | 0x000000
     7212000 |        0 |    0 |   1 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000001
     7222000 |        0 |    0 |   2 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000002
     7224000 |        0 |    0 |   3 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000003
     7227000 |        0 |    0 |   4 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000004
     7229000 |        0 |    0 |   5 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000005
     7232000 |        0 |    0 |   6 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000006
     7234000 |        0 |    0 |   7 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000007
     7237000 |        0 |    0 |   8 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000008
     7239000 |        0 |    0 |   9 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000009
     7242000 |        0 |    0 |  10 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000a
     7244000 |        0 |    0 |  11 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000b
     7247000 |        0 |    0 |  12 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000c
     7249000 |        0 |    0 |  13 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000d
     7252000 |        0 |    0 |  14 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000e
     7254000 |        0 |    0 |  15 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000f
     7257000 |        0 |    0 |  16 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000010
     7259000 |        0 |    0 |  17 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000011
     7262000 |        0 |    0 |  18 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000012
     7264000 |        0 |    0 |  19 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000013
