# Bank Frame Channel Monitor - Slice[0] Bank[0]
# Format: Time(ns) | CycleFromSliceStart | Row(dec) | Col(dec) | RW(0:R,1:W) | StartFrame | EndFrame | Data(hex128) | Addr(hex)
# ========================================
     7267000 |        0 |    0 |  20 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000014
     7269000 |        0 |    0 |  21 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000015
     7272000 |        0 |    0 |  22 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000016
     7274000 |        0 |    0 |  23 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000017
     7277000 |        0 |    0 |  24 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000018
     7279000 |        0 |    0 |  25 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000019
     7282000 |        0 |    0 |  26 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001a
     7284000 |        0 |    0 |  27 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001b
     7287000 |        0 |    0 |  28 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001c
     7289000 |        0 |    0 |  29 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001d
     7292000 |        0 |    0 |  30 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001e
     7294000 |        0 |    0 |  31 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001f
    10404000 |        0 |    0 |  31 | 0(R) | 0 | 1 | 0x3985bba13908b6fbba1c364c34203a0a | 0x00001f
[10404000] INFO: Row Change (cycle=0, total=4)
    10407000 |        0 |   60 |   0 | 1(W) | 1 | 0 | 0x8780000000020004ee2e000000004000 | 0x000f00
    10422000 |        0 |   60 |   1 | 1(W) | 0 | 0 | 0x58000000008000452840000000100010 | 0x000f01
    10444000 |        0 |   60 |   2 | 1(W) | 0 | 0 | 0x500000000080008a5000000002000420 | 0x000f02
    10447000 |        0 |   60 |   3 | 1(W) | 0 | 0 | 0x200000000400086dc000000004000862 | 0x000f03
    10449000 |        0 |   60 |   4 | 1(W) | 0 | 0 | 0x27004204e008409c830e60c38830d806 | 0x000f04
    10452000 |        0 |   60 |   5 | 1(W) | 0 | 0 | 0x0080001883000000010811c002114200 | 0x000f05
    10454000 |        0 |   60 |   6 | 1(W) | 0 | 0 | 0x434000000200002001000080004a0806 | 0x000f06
    10457000 |        0 |   60 |   7 | 1(W) | 0 | 0 | 0x02000008000200000013020191500000 | 0x000f07
    10459000 |        0 |   60 |   8 | 1(W) | 0 | 0 | 0x0001102018150000600c000000040002 | 0x000f08
    10462000 |        0 |   60 |   9 | 1(W) | 0 | 0 | 0x06c34000000400000004000080004a08 | 0x000f09
    10464000 |        0 |   60 |  10 | 1(W) | 0 | 0 | 0xc8e0000000001c0e02c3984560000000 | 0x000f0a
    10467000 |        0 |   60 |  11 | 1(W) | 0 | 0 | 0x000006717b56a9ca00e8200002000140 | 0x000f0b
    10469000 |        0 |   60 |  12 | 1(W) | 0 | 0 | 0x20c4100000800000307b9ac5a92c1cc5 | 0x000f0c
    10472000 |        0 |   60 |  13 | 1(W) | 0 | 0 | 0x000000020000001e0000000010000000 | 0x000f0d
    10474000 |        0 |   60 |  14 | 1(W) | 0 | 0 | 0x04103b0e61018000e6b16a6507314831 | 0x000f0e
    10477000 |        0 |   60 |  15 | 1(W) | 0 | 0 | 0x703803a0800008000003238c08000000 | 0x000f0f
    10479000 |        0 |   60 |  16 | 1(W) | 0 | 0 | 0xa728c1ee6b16a4b00600000019c5ed5a | 0x000f10
    10482000 |        0 |   60 |  17 | 1(W) | 0 | 0 | 0x00000000000040007314831040000200 | 0x000f11
    10484000 |        0 |   60 |  18 | 1(W) | 0 | 0 | 0x007b9ac5a9941cc50000000000080000 | 0x000f12
    10487000 |        0 |   60 |  19 | 1(W) | 0 | 0 | 0x0000000c8e30200020c41040ec398382 | 0x000f13
    10489000 |        0 |   60 |  20 | 1(W) | 0 | 0 | 0x20001800000067172001c0e00e820000 | 0x000f14
    10492000 |        0 |   60 |  21 | 1(W) | 0 | 0 | 0x92c1cc520c410000b56a9ca307b9ac5a | 0x000f15
    10494000 |        0 |   60 |  22 | 1(W) | 0 | 0 | 0x00000000000000200800000000000001 | 0x000f16
    10497000 |        0 |   60 |  23 | 1(W) | 0 | 0 | 0x7314831041030021000001ee6b16a650 | 0x000f17
    10499000 |        0 |   60 |  24 | 1(W) | 0 | 0 | 0xc00c00000078388287306b0000000155 | 0x000f18
    10502000 |        0 |   60 |  25 | 1(W) | 0 | 0 | 0x000ce2f6ad272a607100001000040100 | 0x000f19
    10504000 |        0 |   60 |  26 | 1(W) | 0 | 0 | 0x8820000000000800f7358b5250731641 | 0x000f1a
    10507000 |        0 |   60 |  27 | 1(W) | 0 | 0 | 0x8358941481043c680000000ef338b691 | 0x000f1b
    10509000 |        0 |   60 |  28 | 1(W) | 0 | 0 | 0x31bff8c0ffe403ffe7ffe39fff8c6ffe | 0x000f1c
    10512000 |        0 |   60 |  29 | 1(W) | 0 | 0 | 0x00000000000000008066cf1100000000 | 0x000f1d
    10582000 |        0 |   60 |  29 | 1(W) | 0 | 1 | 0x00000000000000008066cf1100000000 | 0x000f1d
[10582000] INFO: Row Change (cycle=0, total=5)
    10584000 |        0 |   60 |   0 | 0(R) | 1 | 0 | 0x00000000000000000000000000000000 | 0x000f00
    10587000 |        0 |   60 |   1 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f01
    10597000 |        0 |   60 |   2 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f02
    10599000 |        0 |   60 |   3 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f03
    10602000 |        0 |   60 |   4 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f04
    10604000 |        0 |   60 |   5 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f05
    10607000 |        0 |   60 |   6 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f06
    10609000 |        0 |   60 |   7 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f07
    10612000 |        0 |   60 |   8 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f08
    10614000 |        0 |   60 |   9 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f09
    10617000 |        0 |   60 |  10 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f0a
    10619000 |        0 |   60 |  11 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f0b
    10622000 |        0 |   60 |  12 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f0c
    10624000 |        0 |   60 |  13 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f0d
    10627000 |        0 |   60 |  14 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f0e
    10629000 |        0 |   60 |  15 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f0f
    10632000 |        0 |   60 |  16 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f10
    10634000 |        0 |   60 |  17 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f11
    10637000 |        0 |   60 |  18 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f12
    10639000 |        0 |   60 |  19 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f13
    10642000 |        0 |   60 |  20 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f14
    10644000 |        0 |   60 |  21 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f15
    10647000 |        0 |   60 |  22 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f16
    10649000 |        0 |   60 |  23 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f17
    10652000 |        0 |   60 |  24 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f18
    10654000 |        0 |   60 |  25 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f19
    10657000 |        0 |   60 |  26 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f1a
    10659000 |        0 |   60 |  27 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f1b
    10662000 |        0 |   60 |  28 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f1c
    10664000 |        0 |   60 |  29 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f1d
    11769000 |        0 |   60 |  29 | 0(R) | 0 | 1 | 0x04103b0e61018000e6b16a6507314831 | 0x000f1d
[11769000] INFO: Row Change (cycle=0, total=6)
    11772000 |        0 | 5000 |   0 | 0(R) | 1 | 0 | 0x00000000000000000000000000000000 | 0x04e200
    11787000 |        0 | 5000 |   1 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x04e201
    11809000 |        0 | 5000 |   2 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x04e202
    11812000 |        0 | 5000 |   3 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x04e203
    11814000 |        0 | 5000 |   4 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x04e204
    11817000 |        0 | 5000 |   5 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x04e205
    11864000 |        0 | 5000 |   5 | 0(R) | 0 | 1 | 0x04103b0e61018000e6b16a6507314831 | 0x04e205
[11864000] INFO: Row Change (cycle=0, total=7)
    11867000 |        0 |   60 |   0 | 0(R) | 1 | 0 | 0x00000000000000000000000000000000 | 0x000f00
    11882000 |        0 |   60 |   1 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f01
    11904000 |        0 |   60 |   2 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f02
    11907000 |        0 |   60 |   3 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f03
    11909000 |        0 |   60 |   4 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f04
    11912000 |        0 |   60 |   5 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f05
    11914000 |        0 |   60 |   6 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f06
    11917000 |        0 |   60 |   7 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f07
    11919000 |        0 |   60 |   8 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f08
    11922000 |        0 |   60 |   9 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f09
    11924000 |        0 |   60 |  10 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f0a
    11927000 |        0 |   60 |  11 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f0b
    11929000 |        0 |   60 |  12 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f0c
    11932000 |        0 |   60 |  13 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f0d
    11934000 |        0 |   60 |  14 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f0e
    11937000 |        0 |   60 |  15 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f0f
    11939000 |        0 |   60 |  16 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f10
    11942000 |        0 |   60 |  17 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f11
    11944000 |        0 |   60 |  18 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f12
    11947000 |        0 |   60 |  19 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f13
    11949000 |        0 |   60 |  20 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f14
    11952000 |        0 |   60 |  21 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f15
    11954000 |        0 |   60 |  22 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f16
    11957000 |        0 |   60 |  23 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f17
    11959000 |        0 |   60 |  24 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f18
    11962000 |        0 |   60 |  25 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f19
    11964000 |        0 |   60 |  26 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f1a
    11967000 |        0 |   60 |  27 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f1b
    11969000 |        0 |   60 |  28 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f1c
    11972000 |        0 |   60 |  29 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000f1d
[13329000] INFO: slice start (cycle=0)
    13352000 |       17 |   60 |  29 | 0(R) | 0 | 1 | 0x04103b0e61018000e6b16a6507314831 | 0x000f1d
[13352000] INFO: Row Change (cycle=17, total=1)
    13354000 |       19 |    0 |   1 | 0(R) | 1 | 0 | 0x00000000000000000000000000000000 | 0x000001
    13369000 |       31 |    0 |   3 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000003
    13392000 |       49 |    0 |   0 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000000
    13394000 |       51 |    0 |   5 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000005
    13397000 |       53 |    0 |   2 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000002
    13399000 |       55 |    0 |   7 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000007
    13402000 |       57 |    0 |   4 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000004
    13404000 |       59 |    0 |   9 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000009
    13407000 |       61 |    0 |   6 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000006
    13409000 |       63 |    0 |  11 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000b
    13412000 |       65 |    0 |   8 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000008
    13414000 |       67 |    0 |  13 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000d
    13417000 |       69 |    0 |  10 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000a
    13419000 |       71 |    0 |  15 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000f
    13422000 |       73 |    0 |  12 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000c
    13424000 |       75 |    0 |  17 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000011
    13427000 |       77 |    0 |  14 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000e
    13429000 |       79 |    0 |  19 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000013
    13432000 |       81 |    0 |  16 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000010
    13434000 |       83 |    0 |  21 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000015
    13437000 |       85 |    0 |  18 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000012
    13439000 |       87 |    0 |  23 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000017
    13442000 |       89 |    0 |  20 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000014
    13444000 |       91 |    0 |  25 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000019
    13447000 |       93 |    0 |  22 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000016
    13449000 |       95 |    0 |  24 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000018
    13489000 |      127 |    0 |  27 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001b
    13492000 |      129 |    0 |  26 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001a
    13502000 |      137 |    0 |  28 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001c
    13504000 |      139 |    0 |  29 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001d
    13507000 |      141 |    0 |  30 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001e
    13509000 |      143 |    0 |  31 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001f
[14354000] INFO: slice completed (cycle=819)
[14354000] INFO: Row Change Count (Start->Finish) = 1
# Total handshakes: 206
