# Hub Local Request Monitor - Slice[0] Bank[1]
# Format: Time(ns) | ReqCh | ReqAddrFullHex | ReqRW(1=Write,0=Read) | HasValidReadReq | HandshakeType | ArbValidMask | ReqRwMask
# HandshakeType: NON_WRITE_REQ / WRITE_NO_VALID_READ / WRITE_WITH_VALID_READ
# ========================================
[13329000] INFO: slice start (cycle=0)
    13354000 |     2 | 0x80000 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13357000 |     3 | 0x80001 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13359000 |     4 | 0x80008 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13362000 |     5 | 0x80009 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13364000 |     2 | 0x80002 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13367000 |     3 | 0x80003 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13369000 |     4 | 0x8000a |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13372000 |     5 | 0x8000b |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13374000 |     2 | 0x80004 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13377000 |     3 | 0x80005 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13379000 |     4 | 0x8000c |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13382000 |     5 | 0x8000d |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13384000 |     2 | 0x80006 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13387000 |     3 | 0x80007 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13389000 |     4 | 0x8000e |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13392000 |     5 | 0x8000f |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13394000 |     2 | 0x80010 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13397000 |     3 | 0x80011 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13399000 |     4 | 0x80018 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13402000 |     5 | 0x80019 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13404000 |     2 | 0x80012 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13407000 |     3 | 0x80013 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13409000 |     4 | 0x8001a |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13412000 |     5 | 0x8001b |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13414000 |     2 | 0x80014 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13417000 |     3 | 0x80015 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13419000 |     4 | 0x8001c |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13422000 |     5 | 0x8001d |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13424000 |     2 | 0x80016 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13427000 |     3 | 0x80017 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13429000 |     4 | 0x8001e |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13432000 |     5 | 0x8001f |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13434000 |     2 | 0x80020 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13437000 |     3 | 0x80021 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13439000 |     4 | 0x80028 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13442000 |     5 | 0x80029 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13444000 |     2 | 0x80022 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13447000 |     3 | 0x80023 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13449000 |     4 | 0x8002a |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13452000 |     5 | 0x8002b |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13454000 |     2 | 0x80024 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13457000 |     3 | 0x80025 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13459000 |     4 | 0x8002c |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13462000 |     5 | 0x8002d |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13464000 |     2 | 0x80026 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13467000 |     3 | 0x80027 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13469000 |     4 | 0x8002e |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13472000 |     5 | 0x8002f |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13474000 |     2 | 0x80030 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
    13477000 |     3 | 0x80031 |                0 |               1 | NON_WRITE_REQ | 0b0000111100 | 0b1100000000
